track_id,direction_bin,direction_label,corridor_id,corridor_rank,point_count,length_m,displacement_m,duration_min,bearing_deg,keep,drop_reason
75,1,NorthEast,,,3,10708.55,10649.81,36.5,82.55,False,too_few_points
76,2,North,D02-C01,1.0,6,55532.66,55260.45,163.67,106.17,True,
77,3,NorthWest,,,2,2785.43,2785.43,31.68,145.54,False,too_few_points
78,2,North,D02-C01,1.0,5,40770.98,40491.01,109.67,105.86,True,
79,2,North,D02-C01,1.0,6,42462.18,42065.75,118.0,104.89,True,
80,2,North,D02-C03,3.0,6,16624.4,14348.39,83.4,113.06,False,non_top_corridor
81,6,South,D06-C03,3.0,4,9855.69,9139.36,30.18,314.09,False,non_top_corridor
82,6,South,D06-C02,2.0,7,53197.55,51959.19,139.42,280.25,True,
83,2,North,,,3,10973.25,9864.71,48.12,134.86,False,too_few_points
84,2,North,,,2,96.47,96.47,5.95,134.02,False,too_few_points
85,3,NorthWest,,,3,4007.09,3781.45,36.83,145.94,False,too_few_points
86,2,North,D02-C01,1.0,5,48198.14,47933.35,144.0,105.81,True,
87,2,North,D02-C03,3.0,4,17051.2,15696.7,78.02,118.26,False,non_top_corridor
88,2,North,D02-C01,1.0,11,54651.4,53073.48,151.0,101.58,True,
89,6,South,,,6,31621.65,30741.44,71.22,276.91,False,dbscan_noise
90,2,North,D02-C03,3.0,5,17594.71,16366.01,91.48,118.22,False,non_top_corridor
91,7,SouthEast,,,2,1.65,1.65,6.47,325.94,False,too_few_points
92,6,South,D06-C02,2.0,8,55805.3,54934.18,140.7,286.63,True,
93,6,South,D06-C02,2.0,7,54687.45,54290.26,155.48,284.95,True,
94,3,NorthWest,,,9,27705.75,17016.8,107.63,140.06,False,dbscan_noise
95,5,SouthWest,,,3,8865.68,8752.93,33.67,237.52,False,too_few_points
96,4,West,,,4,12784.79,12635.28,42.48,204.0,False,dbscan_noise
97,3,NorthWest,,,3,3957.04,3644.1,16.33,150.2,False,too_few_points
98,2,North,D02-C01,1.0,6,54753.95,54523.61,159.65,105.94,True,
99,7,SouthEast,,,2,6671.89,6671.89,34.22,338.87,False,too_few_points
100,7,SouthEast,,,3,6811.01,6733.06,30.0,338.97,False,too_few_points
101,6,South,D06-C02,2.0,7,54128.99,53234.57,194.05,287.47,True,
102,6,South,D06-C02,2.0,7,56935.68,55499.94,181.47,287.9,True,
103,2,North,,,5,27953.74,26988.54,110.15,112.65,False,dbscan_noise
104,2,North,,,11,61361.87,55686.71,275.98,122.1,False,dbscan_noise
105,5,SouthWest,,,8,59743.11,52580.04,306.47,268.65,False,dbscan_noise
106,4,West,,,5,13155.1,8928.4,51.67,181.5,False,dbscan_noise
107,2,North,D02-C01,1.0,7,46545.11,45316.95,194.33,101.95,True,
108,3,NorthWest,,,3,6948.74,6795.25,52.0,157.13,False,too_few_points
109,2,North,D02-C01,1.0,5,42953.51,42700.85,125.65,105.8,True,
110,2,North,D02-C01,1.0,8,56507.51,55377.64,180.3,109.07,True,
111,6,South,D06-C02,2.0,8,56670.67,55337.68,172.05,287.75,True,
112,7,SouthEast,,,8,32734.1,31303.03,199.18,355.05,False,dbscan_noise
113,4,West,D04-C01,1.0,5,8641.21,6122.87,80.62,211.52,True,
114,7,SouthEast,D07-C01,1.0,5,9650.01,8886.53,44.18,351.76,True,
115,1,NorthEast,,,2,3199.77,3199.77,15.1,70.2,False,too_few_points
116,7,SouthEast,,,3,2956.56,2670.58,23.87,332.85,False,too_few_points
117,7,SouthEast,,,5,24777.37,24629.55,148.48,317.27,False,dbscan_noise
118,0,East,,,3,12386.84,12349.03,55.78,15.01,False,too_few_points
119,4,West,,,3,16228.11,16057.09,78.47,187.59,False,too_few_points
120,3,NorthWest,,,2,1503.32,1503.32,9.8,162.69,False,too_few_points
121,6,South,,,2,441.34,441.34,32.27,271.29,False,too_few_points
122,7,SouthEast,,,3,6753.61,6699.2,23.83,339.32,False,too_few_points
123,7,SouthEast,,,3,7344.37,7305.89,28.03,338.8,False,too_few_points
124,6,South,,,10,41809.86,37590.0,225.1,311.24,False,dbscan_noise
125,1,NorthEast,,,3,4639.55,4397.84,44.52,70.94,False,too_few_points
126,2,North,,,2,29.31,29.31,8.55,111.92,False,too_few_points
127,5,SouthWest,,,3,9593.97,9554.29,41.58,225.77,False,too_few_points
128,6,South,,,7,46047.44,40625.82,143.0,274.91,False,dbscan_noise
129,7,SouthEast,,,3,6888.05,6814.41,37.18,337.65,False,too_few_points
130,1,NorthEast,,,4,36074.11,35105.72,197.82,76.55,False,dbscan_noise
131,3,NorthWest,,,3,6693.93,6577.01,33.9,173.71,False,too_few_points
132,3,NorthWest,,,3,7716.97,7622.61,57.02,158.46,False,too_few_points
133,2,North,,,2,559.61,559.61,20.97,92.93,False,too_few_points
134,5,SouthWest,,,4,21772.33,21310.0,124.1,252.82,False,dbscan_noise
135,1,NorthEast,,,2,8794.14,8794.14,56.03,63.91,False,too_few_points
136,1,NorthEast,D01-C01,1.0,5,17929.62,17815.82,122.47,86.59,True,
137,5,SouthWest,,,2,8411.74,8411.74,48.75,265.62,False,too_few_points
138,5,SouthWest,,,4,14865.27,14780.73,81.03,241.7,False,dbscan_noise
139,6,South,D06-C02,2.0,7,56030.42,54843.09,157.0,286.99,True,
140,7,SouthEast,,,2,6632.2,6632.2,40.8,339.52,False,too_few_points
141,7,SouthEast,,,11,42862.5,39185.17,198.83,316.41,False,dbscan_noise
142,7,SouthEast,,,3,7095.29,6948.85,26.72,337.49,False,too_few_points
143,2,North,D02-C01,1.0,8,50498.95,49117.82,155.78,109.99,True,
144,2,North,,,2,5622.78,5622.78,20.15,109.1,False,too_few_points
145,6,South,D06-C02,2.0,7,56803.31,55484.4,171.83,287.54,True,
146,6,South,D06-C02,2.0,6,56000.3,54872.74,147.68,287.64,True,
147,2,North,,,6,39966.93,35334.48,137.83,93.1,False,dbscan_noise
148,6,South,D06-C02,2.0,7,51741.34,50529.34,191.0,287.63,True,
149,5,SouthWest,,,8,58575.64,52350.88,261.5,269.27,False,dbscan_noise
150,2,North,D02-C01,1.0,6,46314.5,45528.45,167.5,103.37,True,
151,2,North,D02-C01,1.0,7,55705.56,53413.46,201.7,97.03,True,
152,6,South,D06-C02,2.0,7,56213.97,55142.02,180.03,287.35,True,
153,3,NorthWest,,,7,28461.51,24190.28,157.92,140.27,False,dbscan_noise
154,3,NorthWest,,,7,28059.86,23518.32,156.57,140.57,False,dbscan_noise
155,6,South,D06-C01,1.0,6,26874.93,22572.23,110.58,310.07,True,
156,2,North,D02-C01,1.0,8,57263.81,56098.31,213.67,109.38,True,
157,6,South,D06-C02,2.0,11,62638.3,54645.35,256.82,295.87,True,
158,6,South,,,8,51012.26,44516.99,163.03,279.02,False,dbscan_noise
159,6,South,D06-C02,2.0,7,56624.06,55317.99,196.65,287.72,True,
160,2,North,D02-C01,1.0,7,56962.09,55941.6,190.18,108.73,True,
161,2,North,D02-C01,1.0,7,57317.15,55967.9,212.7,109.65,True,
162,2,North,D02-C01,1.0,5,45084.14,44800.64,171.17,105.62,True,
163,6,South,D06-C02,2.0,7,56338.98,55042.28,187.97,287.79,True,
164,6,South,D06-C02,2.0,7,56331.75,55114.17,189.25,287.71,True,
165,4,West,,,5,20031.08,16580.46,93.57,198.82,False,dbscan_noise
166,0,East,,,6,19982.45,17153.29,123.23,16.48,False,dbscan_noise
167,3,NorthWest,,,5,16633.57,14548.27,84.18,159.13,False,dbscan_noise
168,2,North,D02-C01,1.0,6,35390.4,35053.73,135.33,103.94,True,
169,2,North,,,2,4558.38,4558.38,17.82,108.22,False,too_few_points
170,5,SouthWest,,,3,10253.3,10201.23,40.98,257.11,False,too_few_points
171,2,North,D02-C01,1.0,7,48517.98,47669.57,168.65,102.22,True,
172,7,SouthEast,,,3,6453.11,6390.02,25.65,338.04,False,too_few_points
173,3,NorthWest,,,2,1786.74,1786.74,8.52,162.1,False,too_few_points
174,3,NorthWest,,,2,4205.38,4205.38,20.08,162.86,False,too_few_points
175,5,SouthWest,,,3,13460.48,13435.36,71.3,243.0,False,too_few_points
176,6,South,,,3,9295.08,8635.46,28.02,299.32,False,too_few_points
177,7,SouthEast,,,3,6745.74,6693.5,24.0,338.21,False,too_few_points
178,7,SouthEast,D07-C01,1.0,14,44629.15,36726.29,193.53,340.55,True,
179,5,SouthWest,,,2,5507.97,5507.97,35.88,242.35,False,too_few_points
180,5,SouthWest,,,4,13617.6,13442.39,62.97,229.88,False,dbscan_noise
181,5,SouthWest,,,2,8509.47,8509.47,39.02,234.29,False,too_few_points
182,3,NorthWest,,,2,2406.48,2406.48,8.33,168.47,False,too_few_points
183,4,West,,,4,7812.84,4419.87,30.77,204.59,False,dbscan_noise
184,4,West,,,3,5790.5,4639.94,26.98,207.21,False,too_few_points
185,4,West,,,3,5589.6,4566.65,27.32,207.75,False,too_few_points
186,4,West,,,4,8397.09,3034.92,34.35,195.33,False,too_short
187,1,NorthEast,D01-C03,3.0,4,9371.89,5910.02,47.53,74.71,False,non_top_corridor
188,7,SouthEast,D07-C01,1.0,8,30780.68,27751.43,174.58,340.04,True,
189,7,SouthEast,D07-C02,2.0,5,5826.13,4003.47,34.12,328.83,True,
190,2,North,,,2,1823.88,1823.88,9.0,134.37,False,too_few_points
191,2,North,,,2,4922.08,4922.08,51.0,131.06,False,too_few_points
192,2,North,D02-C02,2.0,9,39613.0,37782.52,202.23,125.08,True,
193,6,South,D06-C03,3.0,6,28615.8,26759.29,156.83,305.14,False,non_top_corridor
194,3,NorthWest,,,6,34698.76,33261.02,158.0,175.34,False,dbscan_noise
195,4,West,,,3,1566.41,1308.32,25.83,224.95,False,too_few_points
196,4,West,,,7,41120.51,40307.11,192.93,181.44,False,dbscan_noise
197,1,NorthEast,D01-C05,5.0,8,54397.54,52465.64,211.47,89.11,False,non_top_corridor
198,6,South,D06-C01,1.0,7,39600.35,37567.4,139.82,305.08,True,
199,2,North,D02-C01,1.0,12,65794.14,58556.03,268.37,122.37,True,
200,6,South,D06-C02,2.0,9,59338.06,54295.73,252.48,295.06,True,
201,4,West,,,6,40981.09,40277.58,180.52,181.35,False,dbscan_noise
202,2,North,D02-C03,3.0,5,16744.04,15601.26,106.05,121.88,False,non_top_corridor
203,5,SouthWest,D05-C01,1.0,11,50406.86,43983.23,260.48,235.3,True,
204,1,NorthEast,D01-C05,5.0,6,55081.06,52605.79,247.35,87.08,False,non_top_corridor
205,1,NorthEast,D01-C05,5.0,7,55366.03,52846.68,263.08,87.33,False,non_top_corridor
206,4,West,,,2,3021.05,3021.05,12.02,192.98,False,too_few_points
207,7,SouthEast,,,2,1203.87,1203.87,17.57,355.67,False,too_few_points
208,5,SouthWest,,,9,60653.3,51969.01,320.37,254.6,False,dbscan_noise
209,3,NorthWest,,,2,5894.47,5894.47,27.03,139.34,False,too_few_points
210,2,North,D02-C01,1.0,7,44653.98,38168.3,204.73,123.99,True,
211,2,North,D02-C01,1.0,4,14552.59,14212.37,67.83,125.31,True,
212,2,North,,,5,15469.33,11892.2,81.03,130.62,False,dbscan_noise
213,7,SouthEast,,,13,57080.03,47863.13,287.25,326.85,False,dbscan_noise
214,3,NorthWest,,,5,30320.62,27695.31,141.58,164.04,False,dbscan_noise
215,1,NorthEast,,,2,9178.65,9178.65,48.7,59.81,False,too_few_points
216,1,NorthEast,,,2,8600.69,8600.69,46.13,78.8,False,too_few_points
217,1,NorthEast,D01-C01,1.0,4,15198.17,14433.52,83.35,78.34,True,
218,5,SouthWest,,,6,39630.94,38852.23,226.5,256.91,False,dbscan_noise
219,3,NorthWest,,,19,100425.25,1172.73,619.57,177.82,False,too_short
220,3,NorthWest,,,10,51788.46,44414.04,235.15,142.01,False,dbscan_noise
221,7,SouthEast,,,12,53079.65,45760.46,254.33,324.1,False,dbscan_noise
222,3,NorthWest,,,12,57395.01,47911.13,250.15,146.96,False,dbscan_noise
223,4,West,,,2,6268.18,6268.18,26.93,192.69,False,too_few_points
224,7,SouthEast,,,2,6573.17,6573.17,27.63,337.98,False,too_few_points
225,5,SouthWest,,,7,54768.72,52437.7,263.93,267.29,False,dbscan_noise
226,3,NorthWest,,,14,57857.37,47742.11,262.3,147.75,False,dbscan_noise
227,7,SouthEast,,,13,58211.16,47844.87,292.17,328.09,False,dbscan_noise
228,3,NorthWest,,,2,3877.05,3877.05,20.22,162.15,False,too_few_points
229,1,NorthEast,D01-C04,4.0,12,60871.02,52363.45,336.78,74.19,False,non_top_corridor
230,6,South,D06-C03,3.0,5,28382.89,26778.53,204.05,305.38,False,non_top_corridor
231,0,East,,,3,11399.62,10908.36,66.87,10.03,False,too_few_points
232,6,South,,,2,7032.4,7032.4,42.6,312.09,False,too_few_points
233,5,SouthWest,,,2,1063.75,1063.75,4.97,258.77,False,too_few_points
234,5,SouthWest,,,2,5035.66,5035.66,21.75,244.97,False,too_few_points
235,1,NorthEast,,,4,21802.41,21581.33,164.23,89.09,False,dbscan_noise
236,5,SouthWest,,,4,21780.67,21308.72,123.98,252.46,False,dbscan_noise
237,1,NorthEast,,,2,8894.8,8894.8,56.7,63.82,False,too_few_points
238,1,NorthEast,D01-C01,1.0,5,18052.29,17932.89,130.75,86.57,True,
239,5,SouthWest,,,2,9372.95,9372.95,54.3,265.48,False,too_few_points
240,5,SouthWest,,,4,15299.15,15172.76,83.27,241.84,False,dbscan_noise
241,0,East,,,7,23794.06,22129.19,140.08,43.87,False,dbscan_noise
242,4,West,,,5,20364.51,16683.78,112.05,197.65,False,dbscan_noise
243,6,South,D06-C01,1.0,8,40424.96,38675.26,173.02,305.94,True,
244,3,NorthWest,D03-C01,1.0,4,6939.39,6146.27,38.32,173.95,True,
245,6,South,,,12,61872.23,56340.41,275.17,303.39,False,dbscan_noise
246,7,SouthEast,,,3,7058.77,7002.99,35.0,339.63,False,too_few_points
247,4,West,,,5,20499.85,16618.67,102.5,198.84,False,dbscan_noise
248,3,NorthWest,,,7,38201.32,37264.5,187.73,136.91,False,dbscan_noise
249,0,East,,,2,529.76,529.76,13.02,16.26,False,too_few_points
250,4,West,,,2,1917.95,1917.95,13.0,222.33,False,too_few_points
251,6,South,D06-C02,2.0,7,56724.22,55512.44,197.98,287.72,True,
252,1,NorthEast,D01-C01,1.0,14,55198.34,45010.88,348.43,49.74,True,
253,1,NorthEast,D01-C01,1.0,10,51573.01,45668.76,267.65,61.99,True,
254,5,SouthWest,D05-C01,1.0,8,51618.07,44685.08,376.8,238.28,True,
255,1,NorthEast,D01-C01,1.0,12,53124.57,44711.42,351.05,53.29,True,
256,1,NorthEast,D01-C01,1.0,7,22947.76,18313.79,129.6,51.82,True,
257,1,NorthEast,D01-C01,1.0,8,29297.1,24634.77,174.28,45.84,True,
258,7,SouthEast,,,2,3283.52,3283.52,19.5,342.3,False,too_few_points
259,1,NorthEast,,,2,3736.08,3736.08,22.48,60.43,False,too_few_points
260,2,North,,,2,1935.81,1935.81,10.87,97.96,False,too_few_points
261,2,North,,,2,4408.91,4408.91,28.52,128.35,False,too_few_points
262,4,West,,,2,1440.55,1440.55,15.53,197.95,False,too_few_points
263,1,NorthEast,D01-C01,1.0,13,55758.14,45463.48,323.23,49.01,True,
264,6,South,,,3,6025.54,5776.19,49.57,292.37,False,too_few_points
265,0,East,,,3,4146.38,4059.37,21.52,4.63,False,too_few_points
266,0,East,,,2,155.1,155.1,8.0,20.24,False,too_few_points
267,7,SouthEast,,,2,990.16,990.16,4.95,344.66,False,too_few_points
268,0,East,,,2,4454.71,4454.71,23.02,7.66,False,too_few_points
269,1,NorthEast,D01-C01,1.0,7,28762.92,23614.98,136.02,55.03,True,
270,0,East,,,5,26810.91,20134.44,145.07,39.54,False,dbscan_noise
271,5,SouthWest,D05-C01,1.0,4,20785.52,20624.04,121.93,253.08,True,
272,5,SouthWest,,,2,4010.64,4010.64,24.98,243.01,False,too_few_points
273,0,East,D00-C02,2.0,9,28676.99,18042.51,156.32,18.05,True,
274,4,West,D04-C03,3.0,11,31509.72,15205.34,255.65,196.46,False,non_top_corridor
275,2,North,,,4,6433.88,5128.06,31.58,100.59,False,dbscan_noise
276,6,South,,,3,12570.33,12452.81,76.88,295.2,False,too_few_points
277,1,NorthEast,D01-C04,4.0,9,34261.46,23370.65,205.62,80.89,False,non_top_corridor
278,1,NorthEast,D01-C01,1.0,9,27799.21,21254.07,151.98,67.28,True,
279,3,NorthWest,,,2,8.21,8.21,9.02,178.71,False,too_few_points
280,3,NorthWest,D03-C01,1.0,4,20955.59,19471.17,142.47,141.74,True,
281,7,SouthEast,D07-C01,1.0,4,6622.58,6031.17,35.88,359.73,True,
282,7,SouthEast,,,2,8972.25,8972.25,61.65,340.72,False,too_few_points
283,7,SouthEast,,,3,17802.79,17712.86,105.78,345.94,False,too_few_points
284,4,West,,,2,23.38,23.38,9.0,195.13,False,too_few_points
285,7,SouthEast,D07-C01,1.0,4,26581.58,25591.53,148.05,322.4,True,
286,0,East,,,2,1362.19,1362.19,24.83,5.81,False,too_few_points
287,2,North,,,2,32.29,32.29,6.0,97.61,False,too_few_points
288,5,SouthWest,,,2,163.61,163.61,10.5,249.25,False,too_few_points
289,4,West,,,3,6542.58,6433.95,39.07,184.07,False,too_few_points
290,4,West,D04-C01,1.0,4,15025.81,14862.46,130.05,190.77,True,
291,6,South,,,2,5264.24,5264.24,24.18,288.33,False,too_few_points
292,4,West,D04-C01,1.0,4,8182.46,7917.75,44.02,188.57,True,
293,4,West,,,2,1595.88,1595.88,17.58,193.9,False,too_few_points
294,6,South,,,2,3871.53,3871.53,16.07,278.39,False,too_few_points
295,4,West,D04-C01,1.0,4,8648.06,8309.76,52.12,188.14,True,
296,6,South,D06-C01,1.0,4,26818.85,26044.0,153.7,304.28,True,
297,6,South,,,2,4862.94,4862.94,27.57,291.52,False,too_few_points
298,2,North,,,4,15576.71,15268.0,66.0,129.15,False,dbscan_noise
299,7,SouthEast,,,3,16205.15,16049.72,91.18,344.39,False,too_few_points
300,7,SouthEast,D07-C01,1.0,13,42934.15,36147.65,215.67,330.08,True,
301,0,East,,,4,9274.0,8126.25,59.03,29.19,False,dbscan_noise
302,3,NorthWest,D03-C03,3.0,14,55485.48,47508.36,275.43,147.77,False,non_top_corridor
303,7,SouthEast,D07-C01,1.0,6,16944.11,15765.93,118.17,351.73,True,
304,5,SouthWest,D05-C01,1.0,8,32575.94,27533.9,228.13,235.73,True,
305,0,East,D00-C02,2.0,9,21518.81,14189.64,84.6,34.4,True,
306,5,SouthWest,D05-C01,1.0,10,55178.01,45929.33,266.6,234.26,True,
307,7,SouthEast,,,2,2054.52,2054.52,30.42,315.35,False,too_few_points
308,0,East,,,4,6243.82,5729.8,42.45,5.58,False,dbscan_noise
309,7,SouthEast,,,3,5613.83,5411.6,45.62,328.27,False,too_few_points
310,3,NorthWest,D03-C01,1.0,10,39367.02,34259.99,171.17,156.77,True,
311,3,NorthWest,,,2,1833.27,1833.27,33.07,153.85,False,too_few_points
312,3,NorthWest,D03-C01,1.0,11,41906.45,35867.98,191.75,154.84,True,
313,7,SouthEast,,,14,52821.06,44306.5,274.4,324.83,False,dbscan_noise
314,3,NorthWest,D03-C01,1.0,7,27975.9,25587.63,139.42,165.49,True,
315,7,SouthEast,,,19,69173.76,46893.96,320.27,326.53,False,dbscan_noise
316,2,North,,,2,82.94,82.94,19.53,103.47,False,too_few_points
317,4,West,D04-C02,2.0,11,41198.47,33612.1,174.23,208.75,True,
318,3,NorthWest,D03-C01,1.0,5,24760.9,22871.71,106.55,161.76,True,
319,7,SouthEast,,,12,46047.12,31453.86,222.98,336.17,False,dbscan_noise
320,4,West,,,9,29280.57,27362.72,133.63,188.57,False,dbscan_noise
321,5,SouthWest,D05-C01,1.0,7,23163.93,18375.91,99.73,230.99,True,
322,0,East,D00-C01,1.0,13,44900.8,38447.9,189.23,29.33,True,
323,6,South,,,3,6414.98,6193.09,31.58,305.11,False,too_few_points
324,6,South,,,2,6939.82,6939.82,29.23,301.5,False,too_few_points
325,2,North,,,3,14785.54,14710.32,93.55,124.27,False,too_few_points
326,6,South,D06-C01,1.0,5,19785.41,19198.01,130.02,303.97,True,
327,3,NorthWest,D03-C01,1.0,6,27582.95,25026.61,163.5,151.76,True,
328,6,South,,,7,27617.68,25947.16,153.55,282.75,False,dbscan_noise
329,5,SouthWest,D05-C01,1.0,6,24355.79,19052.22,148.92,237.65,True,
330,4,West,,,2,947.64,947.64,21.98,223.38,False,too_few_points
331,2,North,D02-C03,3.0,5,21648.63,20683.67,112.85,119.44,False,non_top_corridor
332,2,North,,,4,15316.53,14998.5,87.12,129.4,False,dbscan_noise
333,6,South,,,3,16371.41,16291.06,89.77,294.28,False,too_few_points
334,7,SouthEast,,,3,6645.32,6561.83,30.95,338.36,False,too_few_points
335,6,South,,,5,31077.85,29374.07,102.6,271.05,False,dbscan_noise
336,7,SouthEast,,,4,20959.15,20566.94,82.5,352.96,False,dbscan_noise
337,1,NorthEast,D01-C01,1.0,9,55086.96,45489.96,309.3,49.2,True,
338,6,South,,,8,58235.21,52916.27,192.03,280.2,False,dbscan_noise
339,2,North,,,3,14017.08,13976.95,42.05,106.31,False,too_few_points
340,2,North,,,8,42746.11,37120.9,165.05,99.08,False,dbscan_noise
341,3,NorthWest,,,2,4484.97,4484.97,24.32,162.68,False,too_few_points
342,4,West,,,4,13539.94,8582.49,47.23,180.15,False,dbscan_noise
343,2,North,D02-C01,1.0,5,35582.05,35317.03,115.67,106.75,True,
344,2,North,,,2,221.22,221.22,70.82,102.59,False,too_few_points
345,2,North,,,2,1520.49,1520.49,17.67,131.98,False,too_few_points
